Layergg,@layerggofficial
Tweet Range : 2024-07-22 11:44:47 - 2024-07-22 11:49:47
Save Path : C:\Users\86158\Desktop\推特爬取工具包含消息侦测\twitter_scrapy_for_text_main\layerggofficial\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
